id.orig,Original Author,Original Metric.obsolete,Original Label,id.dup,Dup Author,Dup metric.obsolete,Dup Label
1587,Mendling2007,\overline{d_C},AverageDegreeOfConnectors,101,LaRosa2011mana,AGD,AverageGatewayDegree
1470,Latva2001,CNC_P,CoefficientOfNetworkComplexityPascoe,111,Cardoso2006b,CNC,CoefficientOfNetworkComplexity
1470,Latva2001,CNC_P,CoefficientOfNetworkComplexityPascoe,168,Abreu2010defi,CNC,CoefficientOfNetworkComplexityAbreu
1470,Latva2001,CNC_P,CoefficientOfNetworkComplexityPascoe,1587,Mendling2007,CNC,CoefficientOfNetworkConnectivity
201,Gruhn2006comp,{CW},CognitiveWeight,205,Gruhn2006adop,{CC}_{{YAWL}},CognitiveComplexityForYAWL
1480,Cardoso2005cont,CFC,ControlflowComplexity,109,Cardoso2008,CFC_{abs},AbsoluteControlFlowComplexity
1480,Cardoso2005cont,CFC,ControlflowComplexity,31486,Held2009stru,CFC,CardosoControlFlowComplexity
1480,Cardoso2005cont,CFC,ControlflowComplexity,168,Abreu2010defi,CFC,CardosoControlFlowComplexityAbreu
1480,Cardoso2005cont,CFC,ControlflowComplexity,31485,Antonini2011soft,{Complexity}_{CF},ControlFlowComplexityAntonini
1480,Cardoso2005cont,CFC,ControlflowComplexity,1584,Mendling2006a,SC,SplitComplexity
1470,Latva2001,S,CyclomaticNumber,111,Cardoso2006b,MCC,McCabeCyclomaticNumberCardoso
1470,Latva2001,S,CyclomaticNumber,31486,Held2009stru,MCC,McCabeCyclomaticNumberHeld
1470,Latva2001,S,CyclomaticNumber,170,Mao2010comp,MCC (was CC),McCabeCyclomaticNumberMao
1587,Mendling2007,diam,Diameter,101,LaRosa2011mana,diam,DiameterLaRosa
107,Lassen2009,{ECyM},ExtendedCyclomatic,1568,Borgert2009acom,C,McCabeCyclomaticNumberBorgert
174,Muketha2010,IF4BP,InformationFlowComplexity,1546,Huan2014stud,IF,InformationFlowComplexityHuan
201,Gruhn2006comp,MaxND,MaximumNestingDepth,168,Abreu2010defi,ND,NestingDepth
55413,Garcia2003inte,NA,NumberOfActivities,1480,Cardoso2005cont,AC,ActivityComplexity
55413,Garcia2003inte,NA,NumberOfActivities,168,Abreu2010defi,NA,NumberOfActivitiesAbreu
55413,Garcia2003inte,NA,NumberOfActivities,111,Cardoso2006b,NOA,NumberOfActivitiesCardoso
55413,Garcia2003inte,NA,NumberOfActivities,201,Gruhn2006comp,NA,NumberOfActivitiesGruhn
55413,Garcia2003inte,NA,NumberOfActivities,31486,Held2009stru,NOA,NumberOfActivitiesHeld
55413,Garcia2003inte,NA,NumberOfActivities,19518,Rolon2006,TNA,NumberOfActivitiesRolon
55413,Garcia2003inte,NA,NumberOfActivities,1587,Mendling2007,{S}_N,NumberOfNodes
55413,Garcia2003inte,NA,NumberOfActivities,45443,Kreimeyer2010astr,NN,NumberOfNodesKreimeyer
55414,Garcia2003inte,NA,NumberOfActivities,168,Abreu2010defi,TNT,NumberOfTasksAbreu
55414,Garcia2003inte,NA,NumberOfActivities,19518,Rolon2006,TNT,TNumberOfTasks
111,Cardoso2006b,NOAC,NumberOfActivitiesAndControl,31486,Held2009stru,NOAC,NumberOfActivitiesAndControlHeld
111,Cardoso2006b,NOAC,NumberOfActivitiesAndControl,31485,Antonini2011soft,{Size}_{CF},SizeOfControlFlowGraph
1584,Mendling2006a,AND_j,NumberOfANDJoins,1587,Mendling2007,S_{j_{and}},NumberOfANDJoinsMendling
1584,Mendling2006a,AND_s,NumberOfANDSplits,1587,Mendling2007,S_{S_{and}},NumberOfANDSplitsMendling
1584,Mendling2006a,A,NumberOfArcs,1587,Mendling2007,S_A,NumberOfArcsMendling
1584,Mendling2006a,{A},NumberOfArcs,45443,Kreimeyer2010astr,NE,NumberOfEdges
19518,Rolon2006,{NCD},NumberOfComplexDecisionMerge,168,Abreu2010defi,NCG,NumberComplexGateways
117,Garcia2004,NDWP,NumberOfDependences,1587,Mendling2007,{S}_C,NumberOfConnectors
117,Garcia2004,NDWP,NumberOfDependences,168,Abreu2010defi,NC,NumberOfConnectorsAbreu
117,Garcia2004,NDWP,NumberOfDependences,19518,Rolon2006,NSF,NumberOfSequenceFlows
117,Garcia2004,NDWP,NumberOfDependences,168,Abreu2010defi,NSF,NumberOfSequenceFlowsAbreu
19518,Rolon2006,TNEE,NumberOfEndEvents,168,Abreu2010defi,NEE,NumberOfEndEventsAbreu
19518,Rolon2006,TNEE,NumberOfEndEvents,1584,Mendling2006a,E_{end},NumberOfEndEventsMendling
19518,Rolon2006,TNEE,NumberOfEndEvents,1587,Mendling2007,S_{E_E},NumberOfEndEventsMendlingX
19518,Rolon2006,TNE,NumberOfEvents,168,Abreu2010defi,TNE,NumberOfEventsAbreu
19518,Rolon2006,TNE,NumberOfEvents,1587,Mendling2007,S_E,NumberOfEventsMendling
1584,Mendling2006a,F,NumberOfFunctions,101,LaRosa2011mana,MS,ModelSize
1584,Mendling2006a,F,NumberOfFunctions,1587,Mendling2007,S_F,NumberOfFunctionsMendling
19518,Rolon2006,TNG,NumberOfGateways,31486,Held2009stru,{DC},Decisions
19518,Rolon2006,TNG,NumberOfGateways,168,Abreu2010defi,TNG,NumberOfGatewaysAbreu
19518,Rolon2006,{TNG},NumberOfGateways,174,Muketha2010,{NOSA},NumberOfStructuredActivities
19518,Rolon2006,NTIE,NumberOfIntermediateEvents,168,Abreu2010defi,NIE,NumberOfIntermediateEventsAbreu
19518,Rolon2006,NMF,NumberOfMessageFlows,168,Abreu2010defi,NMF,NumberOfMessageFlowsAbreu
1584,Mendling2006a,OR_{j},NumberOfORJoins,1587,Mendling2007,S_{j_{or}},NumberOfORJoinsMendling
1584,Mendling2006a,OR_{s},NumberOfORSplits,1587,Mendling2007,S_{S_{or}},NumberOfORSplitsMendling
19518,Rolon2006,{NPF},NumberOfParallelForkJoin,168,Abreu2010defi,NPG,NumberParallelGateways
19518,Rolon2006,NP,NumberOfPools,168,Abreu2010defi,NP,NumberOfPoolsAbreu
19518,Rolon2006,{NP},NumberOfPools,168,Abreu2010defi,NSL,NumberOfSwimlanes
55413,Garcia2003inte,NPR,NumberOfRoles,19518,Rolon2006,NL,NumberOfLanes
55413,Garcia2003inte,NPR,NumberOfRoles,168,Abreu2010defi,NL,NumberOfLanesAbreu
19518,Rolon2006,NTSE,NumberOfStartEvents,168,Abreu2010defi,NSE,NumberOfStartEventsAbreu
19518,Rolon2006,NTSE,NumberOfStartEvents,1584,Mendling2006a,E_{start},NumberOfStartEventsMendling
19518,Rolon2006,NTSE,NumberOfStartEvents,1587,Mendling2007,S_{E_S},NumberOfStartEventsMendlingX
19518,Rolon2006,{NT},NumberOfTasks,174,Muketha2010,{NOBA},NumberOfBasicActivities
19518,Rolon2006,{NT},NumberOfTasks,681,Lubke2015usin,TBAC,NumberOfBasicActivitiesLubke
55413,Garcia2003inte,NWP,NumberOfWorkProducts,19518,Rolon2006,TNDO,NumberOfDataObjects
55413,Garcia2003inte,NWP,NumberOfWorkProducts,168,Abreu2010defi,NDO,NumberOfDataObjectsAbreu
1584,Mendling2006a,XOR_{j},NumberOfXORJoins,1587,Mendling2007,S_{j_{xor}},NumberOfXORJoinsMendling
1584,Mendling2006a,XOR_{s},NumberOfXORSplits,1587,Mendling2007,S_{S_{xor}},NumberOfXORSplitsMendling
1586,Reijers2004,c,ProcessCohesion,31475,Vanderfeesten2008eval,ch,ProcessCohesionVanderfeesten
1586,Reijers2004,k,ProcessCoupling,31475,Vanderfeesten2008eval,cp,ProcessCouplingVanderfeesten
1586,Reijers2004,\rho,ProcessCouplingCohesionRatio,31475,Vanderfeesten2008eval,\rho,ProcessCouplingCohesionRatioVanderfeesten
117,Garcia2004,RDWPIn,RatioBetweenInDependenciesXDependencies,19518,Rolon2006,PDOPIn,RateOfInputDataObjectOverTotalDObjects
117,Garcia2004,RDWPOut,RatioBetweenOutDependenciesXDependencies,19518,Rolon2006,PDOPOut,RateOfOutputDataObjectOverTotalDObjects
55413,Garcia2003inte,RPRA,RatioOfProcessRolesAndActivities,19518,Rolon2006,PLT,RateOfPoolsAndLanesOverTheTotalOfTasks
55413,Garcia2003inte,RWPA,RatioOfWorkProductsAndActivities,19518,Rolon2006,PDOTOut,RateOfOutputDataObjectOverTheTotalOfTasks
1470,Latva2001,RT,RestrictivenessEstimator,111,Cardoso2006b,RT,RestrictivenessEstimatorCardoso
31486,Held2009stru,SA,StructuredActivities,681,Lubke2015usin,TSAC,StructuredActivitiesLubke
